,review,stars
370,The adhesive was not good and off in a day walk. Very cheap quality. Better go with a branded one,2.0
371,Not,4.0
372,"The media could not be loaded.
                



 Good product",4.0
373,Good,5.0
374,ok,5.0
375,"Very much comfortable if you gets a correct size, too lightweight, all the colors are good specially Navy Blue and Grey. 👍",5.0
376,"The media could not be loaded.
                



 pros-1,same colour like amazon picture2,great fit uk/ind 8 number ..8 number wale 8 hi lai  9 na lain .3,inside memory foam.very relaxing.4,sole very soft5,good lookingCons- no any cons i think",5.0
377,"Really, the product is very value for money and worth buying. It's light weight and gripps were very good. The overall experience is very trustworthy.",5.0
378,defected show👎,3.0
379,"Shoes are really good and comfortable and quality is also good,  only wrong thing is that the size chart is totally wrong, as you can see in the image it is 25.5 but it should be 27",4.0
380,Nice shoe and very comfort,5.0
381,Shoe is perfect...,5.0
382,"I am a regular user of Redchief shoes but I found more comfort in CAMPUS. Simply SASTA, MADDA, TIKAU, KUBSURAT, AARAMDAYAK",5.0
383,I bought it for my dady and he is very happy with the product fit and colour,5.0
384,"Very comfortable shoes, I received as show the image same to same.",5.0
385,Must buy,5.0
386,Nice,4.0
387,Value for money...and decent quality. This is my 2nd purchase and must say quiet like campus shoes,5.0
388,Good,5.0
389,Poor quality sole,3.0
390,Worth for money,4.0
391,The sole of this shoe is not as strong as  it should be,2.0
392,My Dad like this very light weight... Better to buy one large size,5.0
393,Runing,5.0
394,"Everything is fine, but its fitting is not as per size chart.",3.0
395,,5.0
396,You can rely on this product without hesitation.,5.0
397,"Cheaper than offline store , product is fantastic",5.0
398,All is nice except the campus written on backside. It could be designed otherwise.,5.0
399,"OVERALL DUE TO MY FOOT SHAPE VERY DIFFICULT TO SELECT ,BUT IN END EVERYTHING WELL THANKS AMAZON-FOR COOPERATION TO SR.CITIZEN",3.0
400,"Good fitting for me , happy to buy 😊",5.0
401,So good quality &best rate,4.0
402,"The media could not be loaded.
                



 Value for money",4.0
403,कीमत के हिसाब से ठीक ठाक है वैसे इस कि सही कीमत 450 से 500 तक ठीक है केवल,2.0
404,"Nice product, light weight and Comfortable.",4.0
405,good,5.0
406,Comfortable and money worth,5.0
407,I am like this product .,5.0
408,"Very good this product,",5.0
409,Best shoe under this price range,5.0
410,Ek dam best quality. Aacha hai or jldi saaf bhi hojata haiMeri pehli GF nhi thi ye shoes buy kr k 19 Gf ban gai,5.0
411,Best product,5.0
412,🌟🌟🌟🌟,5.0
413,"Been using over a week now... Felt little tight initially but became snug fit after few uses... Very convenient to wear & take off, Comfortable to wear... Not sure of the life, will update after few months ..",4.0
414,Looks could have been better,3.0
415,Extremely Comfortable for those who have longer schedule of standing / walking,4.0
416,Very good shoes . dukan se bahut Kam rate,5.0
417,Overall fit bad,3.0
418,Everything is ok but size problem. Always order 1 size above your actual size.,4.0
419,It's light weight and very comfortable,4.0
420,Size,4.0
421,Good peoduct and value for money,5.0
422,Yeri good,2.0
423,definitely go for it,5.0
424,Good shoes for going here there except special occasions value fo money if its under 600 . Within a year inside meshed material gets off and i couldn't wear them now because the inner mesh typ cloth folds around the feet,4.0
425,Perfect size for men shoes,5.0
426,Very comfortable and light weight shoes,5.0
427,"Very good shoes,  very comfortable and coorect size.",4.0
428,Superb shoes,5.0
429,Comfortable.. shoes,5.0
430,Shoes is very best and comfortable and light weight colour is nice,5.0
431,Very comfortable,5.0
432,"Comfort , light weight",4.0
433,शूज़ को खरीदते समय in shoes and hangbags लिखा हुआ था लेकिन घर पर डिलीवरी के समय केवल शूज ही मिला बॉक्स में। ये मेरे साथ गलत हुआ है। इसका रिप्लाई किजिए क्यों नही हैंडबैग मिला?? मैं इसलिए ही परचेज किया था शूज के साथ साथ हैंडबैग भी मिलेगा लेकिन नही मिला। रिप्लाई,2.0
434,Good item.,4.0
435,Very much comfortable,5.0
436,It's not comfortable at all,2.0
437,Cool,5.0
438,Like the product. Light weight.. Go for it.,5.0
439,Comfortable and durable,4.0
440,It's ok product,4.0
441,,4.0
442,Nice,4.0
443,"I have returned this product because size is not as per chart. I use size 11 shoes and know how big they are, but these shoes do not even let me wear them. The manufacturer should really re-look at their size chart.",3.0
444,"Full comfortable product, quality good quality",5.0
445,Not good,2.0
446,,4.0
447,Shoes are very confortable and light weight and looks very good.,5.0
